language,page_id,average_world_len,vowel_ratio,average_words_in_sentence,non_ascii_ratio,double_letter_ratio,double_vowel_ratio,a_ratio,b_ratio,c_ratio,d_ratio,e_ratio,f_ratio,g_ratio,h_ratio,i_ratio,j_ratio,k_ratio,l_ratio,m_ratio,n_ratio,o_ratio,p_ratio,q_ratio,r_ratio,s_ratio,t_ratio,u_ratio,v_ratio,w_ratio,x_ratio,y_ratio,z_ratio
en,24200278,5.088888888888889,0.38973799126637554,25.714285714285715,0.016725352112676055,0.028384279475982533,0.0425764192139738,0.11026200873362445,0.02292576419213974,0.03820960698689956,0.04912663755458515,0.10262008733624454,0.017467248908296942,0.025109170305676855,0.03165938864628821,0.08951965065502183,0.0,0.007641921397379912,0.048034934497816595,0.03165938864628821,0.08078602620087336,0.04912663755458515,0.006550218340611353,0.0,0.06768558951965066,0.07096069868995633,0.06877729257641921,0.021834061135371178,0.014192139737991267,0.018558951965065504,0.0,0.016375545851528384,0.0
en,33495345,5.124260355029586,0.41570438799076215,24.142857142857142,0.00089126559714795,0.010392609699769052,0.06466512702078522,0.08083140877598152,0.020785219399538105,0.03348729792147806,0.04041570438799076,0.11893764434180139,0.028868360277136258,0.028868360277136258,0.03002309468822171,0.07852193995381063,0.006928406466512702,0.005773672055427252,0.03348729792147806,0.021939953810623556,0.08429561200923788,0.09237875288683603,0.005773672055427252,0.0,0.08083140877598152,0.06812933025404157,0.07736720554272518,0.02771362586605081,0.0011547344110854503,0.016166281755196306,0.0,0.017321016166281754,0.0
en,29042587,5.0,0.4025751072961373,23.3,0.0029781601588352085,0.027896995708154508,0.061373390557939916,0.10944206008583691,0.009871244635193134,0.039484978540772535,0.03261802575107296,0.11545064377682404,0.028755364806866954,0.01201716738197425,0.051072961373390555,0.06995708154506437,0.0034334763948497852,0.00815450643776824,0.03261802575107296,0.021030042918454936,0.0815450643776824,0.07854077253218884,0.019313304721030045,0.00042918454935622315,0.05793991416309013,0.08412017167381974,0.08326180257510729,0.011587982832618025,0.011158798283261802,0.016738197424892704,0.0,0.01759656652360515,0.0038626609442060085
en,2204869,5.0,0.3736842105263158,15.833333333333334,0.0023885350318471337,0.018947368421052633,0.028421052631578948,0.10105263157894737,0.008421052631578947,0.042105263157894736,0.03894736842105263,0.10105263157894737,0.028421052631578948,0.011578947368421053,0.05157894736842105,0.08842105263157894,0.003157894736842105,0.010526315789473684,0.05052631578947368,0.017894736842105262,0.07157894736842105,0.05473684210526316,0.021052631578947368,0.002105263157894737,0.06842105263157895,0.09157894736842105,0.08315789473684211,0.017894736842105262,0.01368421052631579,0.011578947368421053,0.0,0.010526315789473684,0.0
en,3179496,4.319066147859922,0.3747747747747748,17.133333333333333,0.004106776180698152,0.016216216216216217,0.032432432432432434,0.08198198198198198,0.015315315315315315,0.02972972972972973,0.047747747747747746,0.10810810810810811,0.026126126126126126,0.02882882882882883,0.06396396396396396,0.06396396396396396,0.0009009009009009009,0.010810810810810811,0.03963963963963964,0.027927927927927927,0.06936936936936937,0.07747747747747748,0.012612612612612612,0.0018018018018018018,0.054954954954954956,0.07387387387387387,0.0945945945945946,0.026126126126126126,0.006306306306306306,0.016216216216216217,0.0036036036036036037,0.017117117117117116,0.0
en,9920705,4.745283018867925,0.39065606361829025,19.272727272727273,0.0031031807602792862,0.017892644135188866,0.040755467196819085,0.10139165009940358,0.012922465208747515,0.03777335984095427,0.03578528827037773,0.11133200795228629,0.02485089463220676,0.020874751491053677,0.055666003976143144,0.06262425447316103,0.005964214711729622,0.006958250497017893,0.03876739562624255,0.015904572564612324,0.08846918489065607,0.0705765407554672,0.011928429423459244,0.0,0.07952286282306163,0.06858846918489066,0.0705765407554672,0.02485089463220676,0.012922465208747515,0.019880715705765408,0.0019880715705765406,0.019880715705765408,0.0
en,25538385,4.927272727272728,0.3712177121771218,18.333333333333332,0.010777084515031198,0.014760147601476014,0.04206642066420664,0.08782287822878229,0.006642066420664207,0.03099630996309963,0.037638376383763834,0.1047970479704797,0.028044280442804426,0.01918819188191882,0.04944649446494465,0.08118081180811808,0.004428044280442804,0.016974169741697416,0.033210332103321034,0.02952029520295203,0.07970479704797048,0.06715867158671587,0.02214022140221402,0.0014760147601476014,0.06494464944649446,0.07896678966789668,0.08708487084870849,0.01845018450184502,0.006642066420664207,0.01992619926199262,0.0,0.011808118081180811,0.0007380073800738007
en,38472,5.491124260355029,0.4213362068965517,21.125,0.0017873100983020554,0.014008620689655173,0.0668103448275862,0.11314655172413793,0.015086206896551725,0.032327586206896554,0.03125,0.13038793103448276,0.02478448275862069,0.02586206896551724,0.04956896551724138,0.07219827586206896,0.0021551724137931034,0.008620689655172414,0.04310344827586207,0.015086206896551725,0.04956896551724138,0.05603448275862069,0.01939655172413793,0.0010775862068965517,0.07650862068965517,0.09267241379310345,0.08081896551724138,0.021551724137931036,0.0021551724137931034,0.008620689655172414,0.0,0.028017241379310345,0.0
en,8389186,4.766467065868263,0.3706030150753769,23.857142857142858,0.000984251968503937,0.017587939698492462,0.04020100502512563,0.06407035175879397,0.01256281407035176,0.026381909547738693,0.0414572864321608,0.114321608040201,0.02386934673366834,0.03015075376884422,0.035175879396984924,0.06658291457286432,0.0037688442211055275,0.007537688442211055,0.0414572864321608,0.03391959798994975,0.07663316582914573,0.08793969849246232,0.020100502512562814,0.001256281407035176,0.08040201005025126,0.09045226130653267,0.07412060301507538,0.031407035175879394,0.01507537688442211,0.01256281407035176,0.002512562814070352,0.00628140703517588,0.0
en,31151904,4.945945945945946,0.3989071038251366,24.666666666666668,0.00944767441860465,0.020036429872495445,0.056466302367941715,0.09016393442622951,0.00546448087431694,0.039162112932604735,0.039162112932604735,0.10018214936247723,0.01639344262295082,0.023679417122040074,0.04189435336976321,0.09198542805100182,0.0009107468123861566,0.01912568306010929,0.056466302367941715,0.022768670309653915,0.07103825136612021,0.06375227686703097,0.022768670309653915,0.004553734061930784,0.06830601092896176,0.052823315118397086,0.07285974499089254,0.025500910746812388,0.010018214936247723,0.028233151183970857,0.0036429872495446266,0.0273224043715847,0.0
en,1935608,4.835106382978723,0.39933993399339934,10.444444444444445,0.0008347245409015025,0.013201320132013201,0.0407040704070407,0.06820682068206821,0.005500550055005501,0.0407040704070407,0.0429042904290429,0.10451045104510451,0.028602860286028604,0.013201320132013201,0.0462046204620462,0.08250825082508251,0.0022002200220022,0.005500550055005501,0.0231023102310231,0.030803080308030802,0.0704070407040704,0.1034103410341034,0.036303630363036306,0.0011001100110011,0.07150715071507151,0.08360836083608361,0.0781078107810781,0.027502750275027504,0.0088008800880088,0.0088008800880088,0.0011001100110011,0.013201320132013201,0.0022002200220022
en,16813197,4.9,0.39285714285714285,22.857142857142858,0.000992063492063492,0.02423469387755102,0.061224489795918366,0.07908163265306123,0.017857142857142856,0.03316326530612245,0.04081632653061224,0.12755102040816327,0.01913265306122449,0.04081632653061224,0.04846938775510204,0.06505102040816327,0.0,0.006377551020408163,0.04846938775510204,0.02423469387755102,0.05102040816326531,0.09056122448979592,0.007653061224489796,0.0,0.08290816326530612,0.08035714285714286,0.07525510204081633,0.017857142857142856,0.01403061224489796,0.01403061224489796,0.0012755102040816326,0.012755102040816327,0.0012755102040816326
en,26867528,6.054545454545455,0.3863863863863864,82.5,0.029461279461279462,0.015015015015015015,0.024024024024024024,0.0990990990990991,0.021021021021021023,0.021021021021021023,0.018018018018018018,0.08008008008008008,0.02002002002002002,0.009009009009009009,0.016016016016016016,0.08208208208208208,0.002002002002002002,0.035035035035035036,0.062062062062062065,0.04604604604604605,0.08008008008008008,0.08708708708708708,0.007007007007007007,0.0,0.056056056056056056,0.08208208208208208,0.09309309309309309,0.021021021021021023,0.018018018018018018,0.004004004004004004,0.0,0.01701701701701702,0.001001001001001001
en,5824073,5.242424242424242,0.38439306358381503,22.0,0.0005927682276229994,0.028179190751445087,0.03395953757225433,0.07297687861271676,0.011560693641618497,0.057803468208092484,0.02745664739884393,0.13078034682080925,0.02023121387283237,0.028179190751445087,0.052745664739884394,0.06791907514450866,0.0,0.001445086705202312,0.05997109826589595,0.024566473988439308,0.08670520231213873,0.06502890173410404,0.023121387283236993,0.0,0.052745664739884394,0.07514450867052024,0.07586705202312138,0.03251445086705202,0.008670520231213872,0.0072254335260115606,0.000722543352601156,0.015173410404624277,0.001445086705202312
en,34622291,5.010050251256281,0.3791374122367101,39.8,0.0014684287812041115,0.023069207622868605,0.041123370110330994,0.08926780341023069,0.012036108324974924,0.04513540621865597,0.04012036108324975,0.11133400200601805,0.025075225677031094,0.028084252758274825,0.044132397191574725,0.08224674022066199,0.0050150451354062184,0.012036108324974924,0.04914744232698094,0.031093279839518557,0.08224674022066199,0.055165496489468405,0.0160481444332999,0.0,0.06519558676028084,0.06920762286860582,0.06519558676028084,0.028084252758274825,0.014042126379137413,0.0160481444332999,0.0,0.013039117352056168,0.0010030090270812437
en,2885034,4.561111111111111,0.37393422655298414,18.0,0.0019193857965451055,0.020706455542021926,0.028014616321559074,0.08891595615103533,0.020706455542021926,0.031668696711327646,0.0535931790499391,0.09987819732034105,0.014616321559074299,0.01705237515225335,0.028014616321559074,0.07551766138855055,0.012180267965895249,0.012180267965895249,0.06090133982947625,0.023142509135200974,0.07551766138855055,0.07673568818514007,0.018270401948842874,0.0,0.06942752740560293,0.08404384896467722,0.0730816077953715,0.02192448233861145,0.0060901339829476245,0.02192448233861145,0.001218026796589525,0.010962241169305725,0.00243605359317905
en,11460104,4.9941176470588236,0.3945818610129564,15.454545454545455,0.0018814675446848542,0.009422850412249705,0.0353356890459364,0.07302709069493522,0.012956419316843345,0.053003533568904596,0.028268551236749116,0.10836277974087162,0.020023557126030624,0.020023557126030624,0.04240282685512368,0.07420494699646643,0.0,0.002355712603062426,0.045936395759717315,0.02120141342756184,0.06949352179034157,0.09305064782096584,0.02591283863368669,0.001177856301531213,0.0636042402826855,0.0800942285041225,0.10011778563015312,0.030624263839811542,0.002355712603062426,0.009422850412249705,0.004711425206124852,0.015312131919905771,0.002355712603062426
en,1034668,4.9006849315068495,0.39063591893780575,24.333333333333332,0.0027593818984547464,0.023060796645702306,0.03843466107617051,0.07756813417190776,0.019566736547868623,0.029350104821802937,0.050314465408805034,0.12089447938504543,0.01607267645003494,0.02445842068483578,0.03773584905660377,0.07407407407407407,0.001397624039133473,0.0069881201956673656,0.04262753319357093,0.026554856743535988,0.07477288609364081,0.08245981830887492,0.027253668763102725,0.0006988120195667365,0.08176100628930817,0.07617051013277429,0.07197763801537387,0.023759608665269043,0.009084556254367574,0.011879804332634521,0.0006988120195667365,0.011879804332634521,0.0
en,769021,5.949044585987261,0.4336188436830835,26.166666666666668,0.0017905102954341987,0.011777301927194861,0.061027837259100645,0.09850107066381156,0.02569593147751606,0.02462526766595289,0.044967880085653104,0.08886509635974305,0.02462526766595289,0.016059957173447537,0.028907922912205567,0.11349036402569593,0.0,0.0021413276231263384,0.043897216274089934,0.02569593147751606,0.06852248394004283,0.08137044967880086,0.022483940042826552,0.0010706638115631692,0.061027837259100645,0.07066381156316917,0.0867237687366167,0.023554603854389723,0.01284796573875803,0.006423982869379015,0.0,0.027837259100642397,0.0
