"Nazywam się Adam Niezgódka, mam dwanaście lat i już od pół roku jestem w Akademii pana Kleksa. W domu nic mi się nigdy nie udawało. Zawsze spóźniałem się do szkoły, nigdy nie zdążyłem odrobić lekcji i miałem gliniane ręce. Wszystko upuszczałem na podłogę i tłukłem, a szklanki i spodki na sam mój widok pękały i rozlatywały się w drobne kawałki, zanim jeszcze zdążyłem ich dotknąć.","PL"
"Nie znosiłem krupniku i marchewki, a właśnie codziennie dostawałem na obiad krupnik i marchewkę, bo to pożywne i zdrowe. Kiedy na domiar złego oblałem atramentem parę spodni, obrus i nowy kostium mamy, rodzice postanowili wysłać mnie na naukę i wychowanie do pana Kleksa. Akademia mieści się w samym końcu ulicy Czekoladowej i zajmuje duży trzypiętrowy gmach, zbudowany z kolorowych cegiełek. Na trzecim piętrze przechowywane są tajemnicze i nikomu nie znane sekrety pana Kleksa.","PL"
"Pan Kleks przyjmuje do swojej Akademii tylko tych chłopców. których imiona, zaczynają się na literę A, bo   jak powiada   nie ma zamiaru zaśmiecać sobie głowy wszystkimi literami alfabetu. Dlatego też w Akademii jest czterech Adamów, pięciu Aleksandrów, trzech Andrzejów, trzech Alfredów, sześciu Antonich, jeden Artur, jeden Albert i jeden Anastazy, czyli ogółem dwudziestu czterech uczniów. Pan Kleks ma na imię Ambroży, a zatem tylko jeden Mateusz w całej Akademii nie zaczyna się na A. Zresztą Mateusz nie jest wcale uczniem.","PL"
"Ach, prawda! Byłbym całkiem zapomniał powiedzieć, że nasza Akademia mieści się w ogromnym parku, pełnym rozmaitych dołów, jarów i wąwozów, i otoczona jest wysokim murem. Nikomu nie wolno wychodzić poza mur bez pana Kleksa. Ale ten mur nie jest to mur byle jaki. Po tej stronie, która biegnie wzdłuż ulicy, jest zupełnie gładki i tylko pośrodku znajduje się duża oszklona brama.","PL"
"Wszystkie te furtki prowadzą do rozmaitych sąsiednich bajek, z którymi pan Kleks jest w bardzo dobrych i zażyłych stosunkach. Na każdej furtce jest tabliczka z napisem wskazującym, do której bajki prowadzi. Są tam wszystkie bajki pana Andersena i braci Grimm, bajka o dziadku do orzechów, o rybaku i rybaczce, i wilku, który udawał żebraka, o sierotce Marysi i krasnoludkach, o Kaczce Dziwaczce i wiele, wiele innych. Nikt nie wie dokładnie, ile jest tych furtek, bo kiedy je zacząć liczyć, nie można się nie pomylić i po chwili nie wiadomo już, co się naliczyło przedtem.","PL"
"Ogromnie uradowany poleciałem do parku i nie wiedząc zupełnie, w jaki sposób, trafiłem od razu do właściwej furtki. Za chwilę już znalazłem się po drugiej stronie. Oczom moim ukazała się ulica jakiegoś nie znanego miasta, po której snuło się mnóstwo ludzi. I nawet padał śnieg, chociaż po naszej stronie było w tym czasie lato.","PL"
" Masz, zanieś to panu Kleksowi. I przestań płakać. Nie lituj się nad tą dziewczynką. Jest ona biedna i zziębnięta, ale tylko na niby.","PL"
" Słuchajcie, chłopcy, ten pan, którego tu widzicie, przyszedł z bajki o śpiącej królewnie i siedmiu braciach. Otóż dwaj spośród nich poszli wczoraj do lasu i nie wrócili. Sami rozumiecie, że w tych warunkach bajka o śpiącej królewnie i siedmiu braciach nie może się dokończyć. Dlatego też wypożyczam was temu panu na dwie godziny.","PL"
"Poszliśmy razem z owym panem w aksamitnym ubraniu. Dowiedzieliśmy się po drodze, że jest on jednym z braci śpiącej królewny i że my również będziemy musieli ubrać się w taki sam aksamitny strój. Zgodziliśmy się na to chętnie, obaj byliśmy ciekawi widoku śpiącej królewny. Nie będę rozpisywał się tutaj na temat samej bajki, bo każdy ją na pewno zna.","PL"
"Muszę jednak powiedzieć, że za udział w bajce śpiąca królewna po przebudzeniu się zaprosiła mnie i Andrzeja na podwieczorek. Nie wszyscy pewno wiedzą, jakie podwieczorki jadają królewny, a zwłaszcza królewny z bajek. Przede wszystkim więc lokaje wnieśli na tacach ogromne stosy, ciastek z kremem, a prócz tego sam krem na dużych srebrnych misach. Każdy z nas dostał tyle ciastek, ile tylko chciał.","PL"
